id,web_name,full_name,team_name,position,status,price,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,saves,bonus,yellow_cards,red_cards,penalties_missed,penalties_saved,own_goals,bps,influence,creativity,threat,ict_index,form,points_per_game,ep_this,ep_next,selected_pct,in_dreamteam,tackles,recoveries,clearances_blocks_interceptions
415,Savinho,Sávio Moreira de Oliveira,Man City,MID,a,6.9,16,388,0,1,2,3,0,0,1,0,0,0,0,60,57.4,83.5,136.0,27.6,2.2,2.0,2.2,2.7,0.5,False,5,18,8
167,Baleba,Carlos Baleba,Brighton,MID,a,4.7,16,644,0,0,4,7,0,0,4,0,0,0,0,71,27.6,47.6,10.0,8.4,2.0,1.5,2.0,2.0,2.0,False,12,40,21
145,De Cuyper,Maxim De Cuyper,Brighton,DEF,a,4.3,16,411,1,0,0,8,0,1,1,0,0,0,0,64,84.0,84.9,73.0,24.3,0.5,1.8,0.5,0.5,1.8,False,7,25,14
441,Dorgu,Patrick Dorgu,Man Utd,DEF,a,4.3,16,622,0,1,1,11,0,0,4,0,0,0,0,68,112.0,124.4,84.0,32.1,1.5,1.6,1.5,1.5,2.8,False,21,24,25
733,Lammens,Senne Lammens,Man Utd,GKP,a,5.0,16,450,0,0,1,7,14,2,0,0,0,0,0,63,110.8,0.0,0.0,11.1,1.8,3.2,1.8,1.8,1.4,False,0,45,4
325,Smith Rowe,Emile Smith Rowe,Fulham,MID,a,5.6,16,216,1,0,0,2,0,0,0,0,0,0,0,53,57.4,58.0,64.0,18.0,1.0,1.5,1.0,1.0,0.4,False,1,6,3
202,Bruun Larsen,Jacob Bruun Larsen,Burnley,MID,a,5.3,16,411,0,1,1,11,0,0,0,0,0,0,0,47,49.0,59.9,60.0,16.9,1.2,1.8,1.2,1.2,0.0,False,3,10,6
486,Elanga,Anthony Elanga,Newcastle,MID,a,6.7,16,411,0,0,2,9,0,0,0,0,0,0,0,53,44.2,117.2,69.0,23.1,1.0,1.5,1.0,0.5,3.4,False,2,9,4
87,Christie,Ryan Christie,Bournemouth,MID,a,5.0,16,226,1,1,0,6,0,0,1,0,0,0,0,58,69.2,33.0,53.0,15.6,2.0,1.8,2.0,2.0,0.1,False,7,16,10
19,Martinelli,Gabriel Martinelli Silva,Arsenal,MID,d,6.8,16,214,1,0,1,0,0,1,0,0,0,0,0,56,51.0,30.6,93.0,17.5,0.5,2.0,0.4,0.4,0.9,False,3,10,3
642,Hee Chan,Hwang Hee-chan,Wolves,MID,a,5.8,16,366,1,0,0,7,0,0,0,0,0,0,0,55,53.2,32.8,51.0,13.7,0.8,2.0,0.8,0.8,0.1,False,5,5,7
170,Milner,James Milner,Brighton,MID,d,5.0,15,187,1,1,0,7,0,0,1,0,0,0,0,66,79.6,71.2,17.0,16.8,1.2,2.1,0.3,0.3,0.1,False,3,10,6
230,Fofana,Wesley Fofana,Chelsea,DEF,a,4.4,15,307,0,0,2,3,0,0,0,0,0,0,0,72,54.6,7.9,10.0,7.3,3.0,3.0,3.0,3.0,0.2,False,4,12,21
209,Laurent,Josh Laurent,Burnley,MID,a,4.9,15,557,0,0,0,14,0,0,1,0,0,0,0,74,71.0,24.2,32.0,12.9,1.0,1.5,1.0,1.0,0.0,False,4,15,32
375,Bradley,Conor Bradley,Liverpool,DEF,a,5.0,15,529,0,1,1,11,0,0,4,0,0,0,0,48,75.6,62.8,33.0,17.0,3.0,1.7,3.0,3.5,0.3,False,10,21,22
600,Areola,Alphonse Areola,West Ham,GKP,a,4.3,15,630,0,0,0,12,24,0,0,0,0,0,0,78,187.4,0.0,0.0,18.8,2.2,2.1,2.2,2.2,2.1,False,0,53,9
712,Yeremy,Yéremy Pino Santos,Crystal Palace,MID,a,5.8,15,529,0,0,3,4,0,0,2,0,0,0,0,62,52.2,134.3,94.0,27.8,1.5,1.7,1.5,1.5,0.1,False,10,26,4
627,Johnstone,Sam Johnstone,Wolves,GKP,a,4.5,15,630,0,0,0,14,24,0,0,0,0,0,0,78,195.0,0.1,0.0,19.5,1.8,2.1,1.8,1.8,0.1,False,1,70,10
410,Lewis,Rico Lewis,Man City,DEF,a,4.8,15,172,0,1,1,3,0,2,0,0,0,0,0,50,47.2,32.2,15.0,9.4,0.2,3.0,0.2,0.7,1.6,False,3,4,9
526,Igor Jesus,Igor Jesus Maciel da Cruz,Nott'm Forest,FWD,a,5.8,14,326,0,1,0,11,0,0,0,0,0,0,0,41,23.8,36.3,107.0,16.1,2.0,1.4,2.0,1.5,0.7,False,5,6,6
662,Mosquera,Cristhian Mosquera,Arsenal,DEF,a,5.4,14,294,0,0,1,3,0,1,0,0,0,0,0,64,67.4,13.9,8.0,9.0,0.5,2.0,1.5,1.5,0.2,False,8,13,20
695,Tchatchoua,Jackson Tchatchoua,Wolves,DEF,a,4.5,14,517,0,0,0,15,0,0,0,0,0,0,0,17,118.8,93.5,18.0,23.0,1.2,1.4,1.2,1.2,0.0,False,11,26,32
610,Wan-Bissaka,Aaron Wan-Bissaka,West Ham,DEF,a,4.3,14,561,0,1,0,16,0,0,0,0,0,0,0,25,98.6,76.3,14.0,19.0,3.0,2.0,3.0,3.0,5.7,False,7,16,38
543,Adingra,Simon Adingra,Sunderland,MID,a,5.1,14,297,0,1,2,5,0,0,1,0,0,0,0,37,28.4,79.1,8.0,11.5,0.2,2.0,-0.8,0.2,0.5,False,4,8,5
232,Tosin,Tosin Adarabioyo,Chelsea,DEF,a,4.2,14,377,0,0,1,6,0,0,1,0,0,0,0,60,104.6,6.5,11.0,12.2,0.8,2.0,0.8,0.8,0.4,False,6,14,33
497,L.Miley,Lewis Miley,Newcastle,MID,a,4.4,14,273,0,1,1,3,0,0,0,0,0,0,0,62,45.0,52.3,10.0,10.9,1.8,1.8,1.8,1.3,2.1,False,3,16,7
270,Hughes,Will Hughes,Crystal Palace,MID,a,4.8,14,446,0,0,3,3,0,0,3,0,0,0,0,54,58.2,99.7,24.0,18.2,0.8,1.6,0.8,0.8,0.1,False,5,16,19
677,Guessand,Evann Guessand,Aston Villa,MID,a,6.2,14,420,0,0,1,6,0,0,0,0,0,0,0,46,52.2,32.1,65.0,14.7,1.2,1.4,1.2,1.2,0.0,False,15,24,6
358,Tanaka,Tanaka Ao,Leeds,MID,a,4.8,13,320,0,0,2,6,0,0,0,0,0,0,0,51,19.8,62.4,10.0,9.0,1.5,1.6,1.5,1.5,0.1,False,2,19,7
730,Brobbey,Brian Brobbey,Sunderland,FWD,a,5.5,13,106,1,1,0,1,0,0,0,0,0,0,0,50,59.6,10.9,23.0,9.4,2.5,2.2,1.5,2.5,0.1,False,2,5,3
17,Ødegaard,Martin Ødegaard,Arsenal,MID,i,7.8,13,201,0,1,1,1,0,0,0,0,0,0,0,47,43.0,65.0,22.0,13.0,0.0,2.2,0.0,0.0,1.4,False,3,10,6
693,Hutchinson,Omari Hutchinson,Nott'm Forest,MID,a,5.4,13,128,0,2,0,2,0,1,0,0,0,0,0,49,46.4,88.7,51.0,18.3,2.2,2.2,2.2,1.7,0.0,False,1,11,0
644,Bellegarde,Jean-Ricner Bellegarde,Wolves,MID,a,5.2,13,474,0,0,0,16,0,0,1,0,0,0,0,64,49.8,74.2,62.0,18.5,1.2,1.3,1.2,1.2,0.0,False,10,14,13
735,Traoré,Bertrand Traoré,Sunderland,MID,a,5.5,13,358,0,1,1,5,0,0,1,0,0,0,0,60,42.0,59.3,77.0,17.9,3.0,2.2,2.0,3.0,0.0,False,3,11,8
388,C.Jones,Curtis Jones,Liverpool,MID,a,5.4,13,338,0,1,0,9,0,0,1,0,0,0,0,82,59.0,66.3,33.0,15.8,0.8,1.4,0.8,1.3,0.1,False,7,29,6
721,Milosavljević,Veljko Milosavljevic,Bournemouth,DEF,a,4.5,13,275,0,0,1,5,0,0,0,0,0,0,0,48,72.2,12.1,6.0,9.0,2.0,3.2,2.0,2.0,0.0,False,5,9,24
123,Carvalho,Fábio Freitas Gouveia Carvalho,Brentford,MID,a,4.8,13,100,1,0,0,4,0,1,0,0,0,0,0,42,39.0,6.5,36.0,8.1,0.2,2.2,0.2,0.2,0.2,False,3,5,0
635,R.Gomes,Rodrigo Martins Gomes,Wolves,DEF,i,4.5,13,331,1,0,0,9,0,0,0,0,0,0,0,20,60.2,40.4,103.0,20.5,0.8,2.2,0.0,0.0,0.1,False,7,14,11
506,Murillo,Murillo Costa dos Santos,Nott'm Forest,DEF,a,5.3,13,649,0,0,0,13,0,0,2,0,0,0,0,55,137.4,15.8,8.0,16.1,1.5,1.6,1.5,1.0,1.9,False,11,37,49
459,Ugarte,Manuel Ugarte Ribeiro,Man Utd,MID,a,4.8,13,299,0,0,0,11,0,0,0,0,0,0,0,66,54.6,26.4,2.0,8.2,0.8,1.4,0.8,0.8,0.1,False,16,20,16
544,Diarra,Habib Diarra,Sunderland,MID,i,5.3,12,345,0,1,2,2,0,0,1,0,0,0,0,23,10.6,31.0,45.0,8.0,0.0,3.0,0.0,0.0,0.0,False,1,8,6
716,Savona,Nicolò Savona,Nott'm Forest,DEF,a,4.5,12,429,1,0,0,10,0,0,0,0,0,0,0,40,104.0,44.3,43.0,19.2,2.8,2.0,2.8,2.3,0.0,False,13,15,17
485,Gordon,Anthony Gordon,Newcastle,MID,d,7.4,12,461,0,0,3,7,0,0,0,1,0,0,0,43,40.8,95.8,130.0,26.4,1.2,1.7,0.6,0.3,2.0,False,5,17,1
574,Udogie,Destiny Udogie,Spurs,DEF,a,4.4,12,341,0,1,0,5,0,0,0,0,0,0,0,54,77.0,71.7,48.0,19.7,1.2,1.7,1.2,0.2,0.4,False,6,23,10
128,Onyeka,Frank Onyeka,Brentford,MID,a,4.9,12,88,0,2,0,2,0,0,0,0,0,0,0,41,28.4,13.6,4.0,4.6,0.2,2.0,0.2,0.2,0.1,False,2,5,3
421,Rodrigo,Rodrigo 'Rodri' Hernandez Cascante,Man City,MID,d,6.3,12,292,0,0,1,3,0,0,0,0,0,0,0,58,50.6,50.9,19.0,12.0,0.2,2.0,0.1,0.2,0.4,False,6,22,12
570,Danso,Kevin Danso,Spurs,DEF,a,4.3,12,257,0,0,1,4,0,1,3,0,0,0,0,48,64.4,3.4,0.0,6.8,2.2,1.7,2.2,1.2,0.1,False,3,9,34
413,Marmoush,Omar Marmoush,Man City,MID,a,8.3,12,178,0,1,0,3,0,2,0,0,0,0,0,45,38.2,37.4,67.0,14.2,0.8,2.0,0.8,1.3,2.6,False,3,7,4
164,O'Riley,Matt O'Riley,Brighton,MID,u,5.5,12,177,1,0,1,2,0,2,0,0,0,0,0,36,60.8,66.6,63.0,19.0,0.0,6.0,0.0,0.0,0.4,False,4,2,3
310,Barry,Thierno Barry,Everton,FWD,a,5.7,12,380,0,0,2,4,0,0,1,0,0,0,0,7,15.0,34.3,56.0,9.3,1.0,1.1,1.0,1.0,0.3,False,0,3,9
48,Tielemans,Youri Tielemans,Aston Villa,MID,a,5.9,12,334,0,1,1,4,0,0,0,0,0,0,0,63,55.4,84.4,31.0,17.1,1.0,2.4,1.0,1.0,0.6,False,6,13,5
522,Yates,Ryan Yates,Nott'm Forest,MID,a,4.7,11,240,0,1,0,4,0,0,1,0,0,0,0,47,53.0,25.5,21.0,9.9,1.8,1.6,1.8,1.3,0.1,False,3,10,13
431,Bayindir,Altay Bayındır,Man Utd,GKP,a,4.8,11,540,0,0,0,11,13,0,0,0,0,0,0,49,118.4,10.0,0.0,12.8,0.0,1.8,0.0,0.0,0.3,False,0,39,7
326,Adama,Adama Traoré Diarra,Fulham,MID,a,5.2,11,242,0,0,0,6,0,0,0,0,0,0,0,41,19.0,58.9,55.0,12.9,1.2,1.2,1.2,1.2,0.2,False,1,11,1
614,Ward-Prowse,James Ward-Prowse,West Ham,MID,a,5.6,11,414,0,0,1,11,0,0,0,0,0,0,0,82,56.6,176.3,6.0,23.9,0.0,2.2,0.0,0.0,0.2,False,4,9,9
631,Agbadou,Emmanuel Agbadou,Wolves,DEF,a,4.3,11,560,0,0,0,17,0,0,0,1,0,0,0,27,162.2,39.9,39.0,24.2,-0.8,1.4,0.0,-0.8,0.2,False,15,31,51
723,Canvot,Jaydee Canvot,Crystal Palace,DEF,a,4.5,11,91,0,0,1,0,0,2,0,0,0,0,0,34,30.4,0.9,8.0,4.0,2.8,5.5,2.8,2.8,0.0,False,3,4,12
406,Khusanov,Abdukodir Khusanov,Man City,DEF,a,5.4,11,227,0,0,1,1,0,0,1,0,0,0,0,46,42.4,5.2,0.0,4.8,0.0,2.8,0.0,0.5,0.3,False,7,9,15
402,Aït-Nouri,Rayan Aït-Nouri,Man City,DEF,a,5.8,11,203,0,0,1,2,0,1,1,0,0,0,0,38,44.0,27.5,7.0,7.8,0.2,2.8,0.2,0.7,4.7,False,9,8,14
235,Palmer,Cole Palmer,Chelsea,MID,i,10.3,11,144,1,0,1,2,0,1,0,0,0,0,0,36,44.4,19.2,65.0,12.9,0.0,3.7,0.0,0.0,9.0,False,2,4,1
372,Robertson,Andrew Robertson,Liverpool,DEF,a,5.8,11,291,0,0,1,5,0,2,0,0,0,0,0,57,68.4,102.6,47.0,21.9,2.2,1.8,2.2,2.7,1.0,False,5,13,14
182,Trafford,James Trafford,Man City,GKP,a,4.7,11,270,0,0,1,4,11,0,0,0,0,0,0,62,100.2,0.0,0.0,10.1,0.0,3.7,0.0,0.5,1.1,False,2,33,6
409,Stones,John Stones,Man City,DEF,a,5.4,11,324,0,0,1,6,0,0,0,0,0,0,0,46,69.6,19.3,2.0,9.1,0.5,2.2,0.5,1.0,0.7,False,0,15,17
352,Harrison,Jack Harrison,Leeds,MID,a,5.2,11,261,0,0,0,5,0,0,0,0,0,0,0,48,30.0,49.4,35.0,11.5,1.2,1.1,1.2,1.2,0.1,False,5,13,6
353,James,Daniel James,Leeds,MID,a,5.3,11,284,0,0,1,9,0,0,0,0,0,0,0,41,26.4,83.1,47.0,15.7,1.0,1.4,1.0,1.0,0.1,False,2,10,1
625,Füllkrug,Niclas Füllkrug,West Ham,FWD,i,5.6,10,379,0,0,1,9,0,0,0,0,0,0,0,23,24.8,72.3,125.0,21.9,0.0,1.7,0.0,0.0,0.7,False,2,8,7
